name,href,status,title,ok,note
제주대학교,http://www.cheju.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.cheju.ac.kr/
Call log:
  - navigating to ""http://www.cheju.ac.kr/"", waiting until ""domcontentloaded""
"
중원대학교,http://www.jwu.ac.kr/,200,,N,empty title
신한대학교,http://ipsi.shinhan.ac.kr/,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://ipsi.shinhan.ac.kr/
Call log:
  - navigating to ""http://ipsi.shinhan.ac.kr/"", waiting until ""domcontentloaded""
"
추계예술대학교,http://www.chugye.ac.kr,200,,N,empty title
한국기술교육대학교,http://www.kut.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at http://www.kut.ac.kr/
Call log:
  - navigating to ""http://www.kut.ac.kr/"", waiting until ""domcontentloaded""
"
한국외국어대학교,http://www.hufs.ac.kr,200,,N,empty title
한국체육대학교,http://www.knsu.ac.kr/web/ipsi/home,404,Error,N,http 404
한남대학교,http://www.hannam.ac.kr/,200,,N,empty title
한성대학교,https://enter.hansung.ac.kr,200,,N,empty title
한신대학교,http://www.hs.ac.kr,200,,N,empty title
한세대학교,http://www.hansei.ac.kr,200,,N,empty title
경북과학대학교,http://www.kbcs.ac.kr,200,,N,empty title
구미대학교,http://www.gumi.ac.kr,200,,N,empty title
한국침례신학대학교,http://www.kbtus.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.kbtus.ac.kr/
Call log:
  - navigating to ""http://www.kbtus.ac.kr/"", waiting until ""domcontentloaded""
"
경남도립남해대학,http://www.namhae.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.namhae.ac.kr/
Call log:
  - navigating to ""http://www.namhae.ac.kr/"", waiting until ""domcontentloaded""
"
대덕대학교,http://www.ddc.ac.kr,200,,N,empty title
협성대학교,http://www.hyupsung.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.hyupsung.ac.kr/
Call log:
  - navigating to ""http://www.hyupsung.ac.kr/"", waiting until ""domcontentloaded""
"
대전과학기술대학교,http://www.hu.ac.kr/,,,N,"exception: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.hu.ac.kr/
Call log:
  - navigating to ""http://www.hu.ac.kr/"", waiting until ""domcontentloaded""
"
국제대학교,http://www.kookje.ac.kr,,,N,timeout
대구과학대학교,http://www.tsu.ac.kr,,,N,timeout
김포대학교,http://www.kimpo.ac.kr,,,N,timeout
대경대학교,http://www.tk.ac.kr,,,N,timeout
대동대학교,http://www.daedong.ac.kr,,,N,timeout
동양미래대학교,http://www.dongyang.ac.kr,200,,N,empty title
목포과학대학교,http://ipsi.msu.ac.kr/main,,,N,"exception: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at http://ipsi.msu.ac.kr/main
Call log:
  - navigating to ""http://ipsi.msu.ac.kr/main"", waiting until ""domcontentloaded""
"
부산보건대학교,http://www.dongju.ac.kr,404,Not Found,N,http 404
세경대학교,http://www.saekyung.ac.kr/,200,,N,empty title
송곡대학교,http://www.songgok.ac.kr/,200,,N,empty title
숭의여자대학교,http://www.sewc.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.sewc.ac.kr/
Call log:
  - navigating to ""http://www.sewc.ac.kr/"", waiting until ""domcontentloaded""
"
안산대학교,http://www.ansan.ac.kr,502,SmartXFilter Message,N,http 502
연성대학교,http://www.yeonsung.ac.kr/,200,,N,empty title
영진전문대학교,http://www.yjc.ac.kr/,200,,N,empty title
인하공업전문대학,http://www.inhatc.ac.kr,200,,N,empty title
제주관광대학교,http://www.ctc.ac.kr,200,,N,empty title
제주한라대학교,http://www.chu.ac.kr,200,,N,empty title
청강문화산업대학교,http://www.ck.ac.kr/,200,,N,empty title
한국승강기대학교,http://www.klc.ac.kr/,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.klc.ac.kr/
Call log:
  - navigating to ""http://www.klc.ac.kr/"", waiting until ""domcontentloaded""
"
충북보건과학대학교,http://www.chsu.ac.kr,200,,N,empty title
백석예술대학교,http://gpin.bau.ac.kr/,200,,N,empty title
연암대학교,http://www.yonam.ac.kr,200,,N,empty title
